Solute_Concentration,Slip_plane,Temperature,Applied_stress,Velocity,Maximum_stress
0,110,0,0.5,12.68,852.44638
0,110,0,1.0,13.4,1764.06895
0,110,0,1.5,14.35,2673.03972
0,110,300,0.5,12.57,833.13348
0,110,300,1.0,13.3,1706.98713
0,110,300,1.5,14.04,2560.20202
0,110,1000,0.5,11.63,743.36036
0,110,1000,1.0,12.5,1498.75891
0,110,1000,1.5,12.82,2227.92861
0,110,2000,0.5,9.47,705.41306
0,110,2000,1.0,11.1,1397.5087
0,110,2000,1.5,11.42,2084.27821
0,112,0,0.5,14.63,909.45174
0,112,0,1.0,16.53,1899.53812
0,112,0,1.5,16.9,2887.2128
0,112,300,0.5,14.9,903.42762
0,112,300,1.0,16.47,1886.40897
0,112,300,1.5,16.84,2865.85675
0,112,1000,0.5,14.8,897.89763
0,112,1000,1.0,16.12,1879.09352
0,112,1000,1.5,16.68,2869.26554
0,112,2000,0.5,13.36,916.3084
0,112,2000,1.0,15.3,1894.51295
0,112,2000,1.5,15.88,2909.83465
0,123,0,0.5,13.79,926.3314
0,123,0,1.0,15.41,1895.70829
0,123,0,1.5,15.85,2868.14632
0,123,300,0.5,13.95,899.86305
0,123,300,1.0,15.5,1847.91109
0,123,300,1.5,15.93,2797.44976
0,123,1000,0.5,13.37,878.1183
0,123,1000,1.0,14.6,1799.40256
0,123,1000,1.5,15.64,2723.58042
0,123,2000,0.5,12.6,860.56834
0,123,2000,1.0,14.04,1765.94426
0,123,2000,1.5,15.57,2682.33614
10,110,0,0.5,11.99,899.30331
10,110,0,1.0,13.95,1849.17095
10,110,0,1.5,14.8,2803.51086
10,110,300,0.5,11.88,862.78134
10,110,300,1.0,13.73,1778.05351
10,110,300,1.5,14.55,2678.94978
10,110,1000,0.5,8.71,777.457
10,110,1000,1.0,12.43,1563.95751
10,110,1000,1.5,13.31,2337.97647
10,110,2000,0.5,7.67,683.80584
10,110,2000,1.0,11.46,1350.80259
10,110,2000,1.5,12.48,2041.38153
10,112,0,0.5,10.14,962.99926
10,112,0,1.0,15.2,1904.58377
10,112,0,1.5,14.32,2896.26885
10,112,300,0.5,11.31,951.87927
10,112,300,1.0,14.18,1894.04555
10,112,300,1.5,15.51,2878.1627
10,112,1000,0.5,11.51,932.85328
10,112,1000,1.0,13.5,1899.14866
10,112,1000,1.5,15.66,2892.55634
10,112,2000,0.5,11.06,929.02599
10,112,2000,1.0,14.67,1903.63273
10,112,2000,1.5,16.55,2903.1402
10,123,0,0.5,8.48,929.28541
10,123,0,1.0,13.38,1891.0819
10,123,0,1.5,14.72,2870.97292
10,123,300,0.5,11.18,914.45241
10,123,300,1.0,14.68,1863.8934
10,123,300,1.5,15.82,2824.54774
10,123,1000,0.5,10.71,869.93107
10,123,1000,1.0,13.99,1793.73789
10,123,1000,1.5,15.45,2720.82482
10,123,2000,0.5,10.69,856.57495
10,123,2000,1.0,13.28,1757.67744
10,123,2000,1.5,15.08,2669.76148
5,110,0,0.5,12.37,875.94074
5,110,0,1.0,13.87,1814.7246
5,110,0,1.5,14.58,2752.833
5,110,300,0.5,12.41,846.88382
5,110,300,1.0,13.63,1747.77254
5,110,300,1.5,14.29,2629.59252
5,110,1000,0.5,11.42,755.36092
5,110,1000,1.0,12.61,1543.95504
5,110,1000,1.5,13.35,2295.86454
5,110,2000,0.5,9.4,691.93308
5,110,2000,1.0,11.0,1377.74916
5,110,2000,1.5,13.12,2043.8137
5,112,0,0.5,12.72,932.23399
5,112,0,1.0,15.9,1898.47773
5,112,0,1.5,16.67,2898.06984
5,112,300,0.5,12.87,933.93444
5,112,300,1.0,16.02,1889.11929
5,112,300,1.5,16.57,2869.597
5,112,1000,0.5,13.3,915.49913
5,112,1000,1.0,15.5,1892.54021
5,112,1000,1.5,16.26,2875.65945
5,112,2000,0.5,13.0,919.65484
5,112,2000,1.0,15.18,1897.0241
5,112,2000,1.5,15.93,2893.43807
5,123,0,0.5,12.25,909.09407
5,123,0,1.0,14.87,1881.01063
5,123,0,1.5,15.85,2862.61121
5,123,300,0.5,12.79,896.71851
5,123,300,1.0,14.87,1850.66871
5,123,300,1.5,15.66,2806.92192
5,123,1000,0.5,12.43,851.42706
5,123,1000,1.0,14.29,1782.20806
5,123,1000,1.5,15.17,2716.89155
5,123,2000,0.5,11.35,855.95904
5,123,2000,1.0,13.51,1756.16886
5,123,2000,1.5,15.2,2681.51702
